الترم,القسم,اليوم,من,الي,المكان,نوع الدراسة,المجموعة,كود المقرر,تدرس للمستوي
1,قسم الرياضيات,الأحد,10:00,12:00,17,ت,5,ر110,1
1,قسم الرياضيات,الأحد,14:00,16:00,8,ت,3,ر110,1
1,قسم الرياضيات,الأحد,14:00,16:00,9,ت,4,ر110,1
1,قسم الرياضيات,الأحد,8:00,10:00,17,ت,7,ر131,1
1,قسم الرياضيات,الأحد,8:00,10:00,6,ت,8,ر131,1
1,قسم الرياضيات,الأحد,10:00,12:00,16,ت,9,ر131,1
1,قسم الرياضيات,الأحد,10:00,12:00,أ,ت,10,ر131,1
1,قسم الرياضيات,الأحد,12:00,14:00,17,ت,11,ر131,1
1,قسم الرياضيات,الأحد,12:00,14:00,10,ت,12,ر131,1
1,قسم الرياضيات,الأحد,16:00,18:00,10,ت,1,ر132,1
1,قسم الرياضيات,الأحد,16:00,18:00,8,ت,2,ر132,1
1,قسم الرياضيات,الأحد,11:00,13:00,ج,ع,6,ص100,1
1,قسم الرياضيات,الأحد,14:00,16:00,10,ع,4,ص100,1
1,قسم الرياضيات,الأحد,8:00,11:00,10,ن,1,ر211,2
1,قسم الرياضيات,الأحد,8:00,11:00,10,ن,2,ر211,2
1,قسم الرياضيات,الأحد,12:00,15:00,16,ت,3,ر231,2
1,قسم الرياضيات,الأحد,8:00,11:00,4,ن,3,ر231,2
1,قسم الرياضيات,الأحد,8:00,11:00,4,ن,4,ر231,2
1,قسم الرياضيات,الأحد,12:00,13:00,د,ن,2,ص221,2
1,قسم الرياضيات,الأحد,12:00,14:00,13,ت,1,ر301,3
1,قسم الرياضيات,الأحد,8:00,10:00,14,ن,1,ر331,3
1,قسم الرياضيات,الأحد,12:00,14:00,14,ت,1,ر344,3
1,قسم الرياضيات,الأحد,10:00,12:00,م حاسب رياضه,ع,1,ر351,3
1,قسم الرياضيات,الأحد,8:00,10:00,13,ن,1,ر353,3
1,قسم الرياضيات,الأحد,17:00,19:00,14,ت,1,ر361,3
1,قسم الرياضيات,الأحد,14:00,16:00,13,ن,1,ر371,3
1,قسم الرياضيات,الأحد,14:00,16:00,م حاسب رياضه,ع,1,س307,3
1,قسم الرياضيات,الأحد,16:00,18:00,م حاسب رياضه,ع,2,س307,3
1,قسم الرياضيات,الأحد,10:00,12:00,13,ن,1,ر431,4
1,قسم الرياضيات,الأربعاء,10:00,12:00,21,ن,5,ر110,1
1,قسم الرياضيات,الأربعاء,10:00,12:00,21,ن,6,ر110,1
1,قسم الرياضيات,الأربعاء,8:00,10:00,9,ن,7,ر131,1
1,قسم الرياضيات,الأربعاء,8:00,10:00,9,ن,8,ر131,1
1,قسم الرياضيات,الأربعاء,10:00,12:00,9,ن,13,ر131,1
1,قسم الرياضيات,الأربعاء,10:00,12:00,9,ن,14,ر131,1
1,قسم الرياضيات,الأربعاء,12:00,14:00,8,ن,11,ر131,1
1,قسم الرياضيات,الأربعاء,12:00,14:00,8,ن,12,ر131,1
1,قسم الرياضيات,الأربعاء,14:00,16:00,9,ن,9,ر131,1
1,قسم الرياضيات,الأربعاء,14:00,16:00,9,ن,10,ر131,1
1,قسم الرياضيات,الأربعاء,10:00,12:00,8,ن,1,ص100,1
1,قسم الرياضيات,الأربعاء,15:00,17:00,13,ع,1,ر239,2
1,قسم الرياضيات,الأربعاء,11:00,13:00,13,ن,1,ر239,2
1,قسم الرياضيات,الأربعاء,8:00,10:00,م حاسب نبات قديم,ع,1,س201,2
1,قسم الرياضيات,الأربعاء,8:00,10:00,م حاسب رياضه,ع,4,س201,2
1,قسم الرياضيات,الأربعاء,10:00,12:00,م حاسب نبات قديم,ع,2,س201,2
1,قسم الرياضيات,الأربعاء,10:00,12:00,م حاسب رياضه,ع,3,س201,2
1,قسم الرياضيات,الأربعاء,8:00,10:00,10,ت,1,ص201,2
1,قسم الرياضيات,الأربعاء,10:00,12:00,10,ت,2,ص201,2
1,قسم الرياضيات,الأربعاء,15:00,17:00,10,ت,3,ص201,2
1,قسم الرياضيات,الأربعاء,13:00,15:00,16,ن,1,ر305,3
1,قسم الرياضيات,الأربعاء,20:00,21:00,بالقسم,ت,1,س304,3
1,قسم الرياضيات,الأربعاء,20:00,21:00,بالقسم,ت,2,س304,3
1,قسم الرياضيات,الأربعاء,16:00,18:00,17,ن,1,س304,3
1,قسم الرياضيات,الأربعاء,16:00,18:00,17,ن,2,س304,3
1,قسم الرياضيات,الأربعاء,18:00,22:00,بالقسم,ت,1,س305,3
1,قسم الرياضيات,الأربعاء,18:00,22:00,بالقسم,ت,2,س305,3
1,قسم الرياضيات,الأربعاء,10:00,12:00,16,ن,1,س305,3
1,قسم الرياضيات,الأربعاء,10:00,12:00,16,ن,2,س305,3
1,قسم الرياضيات,الأربعاء,8:00,10:00,17,ن,1,س309,3
1,قسم الرياضيات,الأربعاء,8:00,10:00,17,ن,2,س309,3
1,قسم الرياضيات,الأربعاء,12:00,14:00,14,ت,1,ر431,4
1,قسم الرياضيات,الأربعاء,18:00,20:00,16,ن,1,ر441,4
1,قسم الرياضيات,الأربعاء,10:00,12:00,14,ت,1,ر473,4
1,قسم الرياضيات,الأربعاء,8:00,10:00,14,ن,1,ر473,4
1,قسم الرياضيات,الأربعاء,12:00,14:00,م حاسب رياضه,ع,1,س401,4
1,قسم الرياضيات,الأربعاء,14:00,16:00,م حاسب رياضه,ع,2,س401,4
1,قسم الرياضيات,الأربعاء,16:00,18:00,م حاسب رياضه,ع,1,س406,4
1,قسم الرياضيات,الإثنين,10:00,12:00,17,ت,6,ر110,1
1,قسم الرياضيات,الإثنين,8:00,10:00,10,ت,13,ر131,1
1,قسم الرياضيات,الإثنين,8:00,10:00,16,ت,14,ر131,1
1,قسم الرياضيات,الإثنين,10:00,12:00,9,ت,15,ر131,1
1,قسم الرياضيات,الإثنين,10:00,12:00,8,ت,16,ر131,1
1,قسم الرياضيات,الإثنين,12:00,14:00,17,ت,17,ر131,1
1,قسم الرياضيات,الإثنين,12:00,14:00,3,ت,18,ر131,1
1,قسم الرياضيات,الإثنين,14:00,16:00,8,ت,19,ر131,1
1,قسم الرياضيات,الإثنين,14:00,16:00,16,ت,20,ر131,1
1,قسم الرياضيات,الإثنين,16:00,18:00,10,ت,3,ر132,1
1,قسم الرياضيات,الإثنين,16:00,18:00,6,ت,4,ر132,1
1,قسم الرياضيات,الإثنين,8:00,10:00,21,ع,5,ص100,1
1,قسم الرياضيات,الإثنين,12:00,14:00,8,ع,3,ص100,1
1,قسم الرياضيات,الإثنين,10:00,12:00,10,ن,3,ر271,2
1,قسم الرياضيات,الإثنين,10:00,12:00,10,ن,4,ر271,2
1,قسم الرياضيات,الإثنين,14:00,16:00,10,ن,1,ر271,2
1,قسم الرياضيات,الإثنين,14:00,16:00,10,ن,2,ر271,2
1,قسم الرياضيات,الإثنين,20:00,21:00,بالقسم,ت,1,س201,2
1,قسم الرياضيات,الإثنين,20:00,21:00,بالقسم,ت,2,س201,2
1,قسم الرياضيات,الإثنين,20:00,21:00,بالقسم,ت,3,س201,2
1,قسم الرياضيات,الإثنين,20:00,21:00,بالقسم,ت,4,س201,2
1,قسم الرياضيات,الإثنين,12:00,14:00,10,ن,1,س201,2
1,قسم الرياضيات,الإثنين,12:00,14:00,6,ن,2,س201,2
1,قسم الرياضيات,الإثنين,12:00,14:00,10,ن,3,س201,2
1,قسم الرياضيات,الإثنين,12:00,14:00,6,ن,4,س201,2
1,قسم الرياضيات,الإثنين,11:00,12:00,16,ن,1,ص222,2
